Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
December 31 2017,Hamilton,TN,Passenger,1,0,1,21,22,4.55
December 31 2018,Douglas,WA,Passenger,50,34,84,28012,28096,0.30
December 31 2022,Jefferson,WA,Truck,6,0,6,9369,9375,0.06
March 31 2021,Chesapeake,VA,Passenger,0,2,2,402,404,0.50
February 28 2022,Santa Cruz,CA,Passenger,1,0,1,26,27,3.70
November 30 2021,Collier,FL,Passenger,1,0,1,18,19,5.26
December 31 2022,Arapahoe,CO,Passenger,0,1,1,72,73,1.37
January 31 2019,Douglas,NE,Passenger,0,1,1,68,69,1.45
November 30 2020,Sumter,FL,Passenger,0,1,1,10,11,9.09
February 28 2021,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.00
July 31 2021,Columbia,WA,Passenger,6,2,8,2472,2480,0.32
February 28 2017,Clallam,WA,Truck,0,0,0,21026,21026,0.00
May 31 2019,Santa Fe,NM,Passenger,0,1,1,40,41,2.44
April 30 2023,Hennepin,MN,Passenger,1,0,1,35,36,2.78
February 28 2021,Williams,ND,Passenger,0,1,1,10,11,9.09
August 31 2017,Yakima,WA,Passenger,54,67,121,160142,160263,0.08
February 29 2020,Yakima,WA,Passenger,123,116,239,165954,166193,0.14
September 30 2020,Ferry,WA,Passenger,8,3,11,4306,4317,0.25
June 30 2021,Columbia,WA,Passenger,6,2,8,2468,2476,0.32
May 31 2017,,,Passenger,2,0,2,459,461,0.43
July 31 2022,Duval,FL,Passenger,1,2,3,273,276,1.09
September 30 2022,Yavapai,AZ,Passenger,0,1,1,24,25,4.00
January 31 2019,Lee,AL,Passenger,1,0,1,35,36,2.78
November 30 2020,Shelby,OH,Passenger,0,1,1,1,2,50.00
August 31 2019,Clark,WA,Passenger,1647,960,2607,315536,318143,0.82
September 30 2020,Franklin,WA,Passenger,68,76,144,60925,61069,0.24
July 31 2018,Douglas,WA,Truck,0,0,0,11972,11972,0.00
September 30 2022,Queens,NY,Passenger,1,0,1,36,37,2.70
October 31 2022,Charleston,SC,Passenger,2,2,4,58,62,6.45
June 30 2021,Hawaii,HI,Passenger,1,0,1,46,47,2.13
September 30 2022,Stevens,WA,Truck,1,0,1,18913,18914,0.01
March 31 2017,Jefferson,WA,Truck,0,0,0,9447,9447,0.00
March 31 2021,Salt Lake,UT,Passenger,0,1,1,179,180,0.56
December 31 2020,Rogers,OK,Passenger,1,0,1,3,4,25.00
May 31 2023,Galveston,TX,Passenger,0,1,1,16,17,5.88
June 30 2019,Harris,TX,Passenger,1,1,2,252,254,0.79
May 31 2019,Pinal,AZ,Passenger,2,0,2,195,197,1.02
November 30 2022,Cumberland,PA,Passenger,1,0,1,40,41,2.44
July 31 2017,King,WA,Truck,8,1,9,187243,187252,0.00
May 31 2021,Chelan,WA,Truck,0,0,0,23101,23101,0.00
February 28 2022,Mason,WA,Passenger,280,166,446,47720,48166,0.93
April 30 2021,Nueces,TX,Passenger,1,0,1,77,78,1.28
March 31 2021,Richland,SC,Passenger,0,1,1,142,143,0.70
March 31 2019,Klickitat,WA,Passenger,32,31,63,15422,15485,0.41
January 31 2020,Honolulu,HI,Passenger,4,2,6,486,492,1.22
April 30 2022,Santa Clara,CA,Passenger,10,1,11,226,237,4.64
December 31 2019,Skamania,WA,Passenger,26,19,45,8767,8812,0.51
August 31 2022,Kitsap,WA,Truck,19,0,19,53269,53288,0.04
July 31 2017,Norfolk,VA,Passenger,1,1,2,312,314,0.64
March 31 2023,Pend Oreille,WA,Passenger,28,13,41,8927,8968,0.46
July 31 2021,Pacific,WA,Truck,0,0,0,7961,7961,0.00
April 30 2017,Arlington,VA,Passenger,1,1,2,168,170,1.18
June 30 2023,Deschutes,OR,Passenger,2,0,2,51,53,3.77
April 30 2018,Grant,WA,Passenger,31,42,73,62792,62865,0.12
March 31 2021,Placer,CA,Passenger,2,0,2,84,86,2.33
June 30 2022,St. Louis,MO,Passenger,1,0,1,60,61,1.64
September 30 2019,Spartanburg,SC,Passenger,0,1,1,40,41,2.44
March 31 2021,Hudson,NJ,Passenger,1,0,1,41,42,2.38
September 30 2018,Pierce,WA,Passenger,1325,1267,2592,535544,538136,0.48
August 31 2021,Adams,WA,Passenger,16,14,30,13041,13071,0.23
September 30 2021,Whitman,WA,Truck,0,0,0,8558,8558,0.00
March 31 2023,Howard,MD,Passenger,0,2,2,44,46,4.35
September 30 2021,Harrison,MS,Passenger,2,0,2,51,53,3.77
April 30 2020,Island,WA,Truck,1,0,1,21139,21140,0.00
July 31 2018,Volusia,FL,Passenger,0,1,1,32,33,3.03
October 31 2019,Eagle,CO,Passenger,1,0,1,6,7,14.29
February 28 2018,Klickitat,WA,Passenger,24,27,51,14943,14994,0.34
February 28 2022,Maricopa,AZ,Passenger,7,4,11,1026,1037,1.06
September 30 2022,Honolulu,HI,Passenger,3,3,6,320,326,1.84
September 30 2022,Anne Arundel,MD,Passenger,4,3,7,326,333,2.10
November 30 2022,Harris,TX,Passenger,1,0,1,130,131,0.76
May 31 2017,Stevens,WA,Passenger,8,23,31,31326,31357,0.10
