Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
February 29 2020,District of Columbia,DC,Passenger,1,1,2,206,208,0.96
June 30 2023,Los Angeles,CA,Passenger,4,4,8,564,572,1.40
December 31 2022,Pierce,WA,Truck,82,0,82,139613,139695,0.06
March 31 2020,Howard,MD,Passenger,0,1,1,72,73,1.37
March 31 2023,Snohomish,WA,Passenger,11315,2888,14203,528893,543096,2.62
April 30 2022,Benton,WA,Passenger,715,446,1161,135484,136645,0.85
November 30 2019,Cowlitz,WA,Passenger,114,106,220,73594,73814,0.30
January 31 2021,Walla Walla,WA,Passenger,103,68,171,36163,36334,0.47
June 30 2019,Franklin,MA,Passenger,0,1,1,1,2,50.00
May 31 2022,Deschutes,OR,Passenger,2,0,2,84,86,2.33
March 31 2022,Lee,FL,Passenger,1,0,1,32,33,3.03
April 30 2022,District of Columbia,DC,Passenger,4,0,4,183,187,2.14
October 31 2017,Pierce,WA,Passenger,1040,916,1956,525458,527414,0.37
March 31 2020,Island,WA,Passenger,406,269,675,63232,63907,1.06
September 30 2018,Adams,WA,Truck,0,0,0,5157,5157,0.00
April 30 2022,Ventura,CA,Passenger,2,2,4,238,242,1.65
June 30 2022,Cook,IL,Passenger,2,0,2,190,192,1.04
January 31 2018,Richmond,GA,Passenger,0,1,1,93,94,1.06
November 30 2020,Jones,GA,Passenger,1,0,1,1,2,50.00
January 31 2022,Kittitas,WA,Passenger,216,72,288,29805,30093,0.96
February 28 2019,Carroll,NH,Passenger,0,1,1,2,3,33.33
April 30 2021,Skagit,WA,Truck,1,0,1,33025,33026,0.00
July 31 2018,Grays Harbor,WA,Truck,0,0,0,20226,20226,0.00
March 31 2023,El Paso,TX,Passenger,2,0,2,275,277,0.72
June 30 2021,Carroll,MD,Passenger,0,1,1,19,20,5.00
October 31 2018,Kent,MI,Passenger,0,1,1,25,26,3.85
May 31 2020,Williams,ND,Passenger,0,1,1,11,12,8.33
November 30 2021,Adams,WA,Passenger,16,14,30,13044,13074,0.23
December 31 2017,Franklin,MA,Passenger,0,1,1,4,5,20.00
April 30 2022,Bartow,GA,Passenger,0,1,1,3,4,25.00
December 31 2022,Benton,WA,Passenger,933,501,1434,135805,137239,1.04
March 31 2018,Franklin,WA,Passenger,34,55,89,57214,57303,0.16
October 31 2019,Orange,CA,Passenger,7,3,10,525,535,1.87
July 31 2019,Spartanburg,SC,Passenger,0,1,1,38,39,2.56
August 31 2017,Juneau,AK,Passenger,0,1,1,41,42,2.38
June 30 2018,Benton,WA,Passenger,192,199,391,131473,131864,0.30
March 31 2023,Yakima,WA,Passenger,458,238,696,165896,166592,0.42
May 31 2018,Benton,WA,Passenger,188,195,383,131299,131682,0.29
August 31 2018,Multnomah,OR,Passenger,3,5,8,781,789,1.01
June 30 2018,Skamania,WA,Truck,0,0,0,3946,3946,0.00
August 31 2022,Geary,KS,Passenger,1,0,1,82,83,1.20
August 31 2021,Deschutes,OR,Passenger,1,0,1,111,112,0.89
March 31 2019,Polk,FL,Passenger,1,0,1,65,66,1.52
December 31 2018,Thurston,WA,Truck,0,0,0,54873,54873,0.00
August 31 2020,Benton,WA,Truck,0,0,0,43023,43023,0.00
May 31 2019,Jefferson,WA,Truck,0,0,0,9668,9668,0.00
July 31 2020,Jefferson,WA,Truck,0,0,0,9542,9542,0.00
May 31 2020,Suffolk,VA,Passenger,1,0,1,124,125,0.80
January 31 2018,Albemarle,VA,Passenger,0,1,1,30,31,3.23
October 31 2019,Clark,NV,Passenger,5,2,7,691,698,1.00
December 31 2020,Bartow,GA,Passenger,0,1,1,4,5,20.00
May 31 2022,Pacific,WA,Passenger,60,68,128,15913,16041,0.80
April 30 2020,Kitsap,WA,Truck,1,0,1,53905,53906,0.00
April 30 2021,Polk,FL,Passenger,1,0,1,56,57,1.75
July 31 2017,Santa Clara,CA,Passenger,5,2,7,404,411,1.70
January 31 2021,Columbia,WA,Passenger,5,3,8,2452,2460,0.33
March 31 2020,Suffolk,MA,Passenger,0,2,2,38,40,5.00
May 31 2022,Albemarle,VA,Passenger,1,0,1,18,19,5.26
February 28 2017,Nassau,NY,Passenger,0,1,1,39,40,2.50
December 31 2022,Washington,OR,Passenger,1,0,1,271,272,0.37
November 30 2022,Pacific,WA,Passenger,70,79,149,15754,15903,0.94
May 31 2019,El Paso,CO,Passenger,2,1,3,751,754,0.40
July 31 2017,Benton,WA,Truck,0,0,0,40129,40129,0.00
October 31 2019,Alexandria,VA,Passenger,1,0,1,146,147,0.68
January 31 2022,Douglas,NE,Passenger,1,2,3,50,53,5.66
May 31 2018,Twin Falls,ID,Passenger,0,1,1,23,24,4.17
October 31 2019,Powhatan,VA,Passenger,1,0,1,0,1,100.00
February 28 2021,Franklin,WA,Truck,0,0,0,20509,20509,0.00
November 30 2018,San Juan,WA,Truck,0,0,0,5805,5805,0.00
April 30 2022,Duval,FL,Passenger,0,2,2,292,294,0.68
April 30 2023,Carroll,MD,Passenger,0,1,1,19,20,5.00
August 31 2018,Monroe,IL,Passenger,1,0,1,5,6,16.67
August 31 2020,Williams,ND,Passenger,0,1,1,11,12,8.33
July 31 2021,Powhatan,VA,Passenger,1,0,1,1,2,50.00
March 31 2019,Kitsap,WA,Passenger,996,569,1565,179906,181471,0.86
June 30 2021,Orange,CA,Passenger,4,3,7,433,440,1.59
March 31 2021,Los Angeles,CA,Passenger,9,10,19,929,948,2.00
July 31 2019,Kern,CA,Passenger,0,1,1,221,222,0.45
April 30 2023,Whatcom,WA,Truck,52,0,52,42743,42795,0.12
November 30 2021,Gwinnett,GA,Passenger,1,0,1,60,61,1.64
May 31 2018,Mason,WA,Passenger,77,93,170,45592,45762,0.37
November 30 2018,Lane,OR,Passenger,0,1,1,176,177,0.56
September 30 2021,Flathead,MT,Passenger,1,0,1,48,49,2.04
July 31 2021,Bexar,TX,Passenger,3,4,7,525,532,1.32
January 31 2017,Jefferson,NY,Passenger,1,1,2,252,254,0.79
June 30 2019,Walla Walla,WA,Passenger,49,61,110,36185,36295,0.30
May 31 2020,Stevens,WA,Passenger,34,33,67,30733,30800,0.22
March 31 2022,Wahkiakum,WA,Passenger,18,11,29,3076,3105,0.93
May 31 2020,Pacific,WA,Truck,0,0,0,7625,7625,0.00
October 31 2022,Hudson,NJ,Passenger,2,0,2,30,32,6.25
May 31 2022,Frederick,MD,Passenger,1,1,2,68,70,2.86
July 31 2023,Escambia,FL,Passenger,0,1,1,113,114,0.88
March 31 2023,Pacific,WA,Passenger,75,84,159,15631,15790,1.01
September 30 2020,Salt Lake,UT,Passenger,0,1,1,183,184,0.54
November 30 2018,Frederick,MD,Passenger,0,1,1,83,84,1.19
May 31 2022,Garfield,WA,Truck,0,0,0,980,980,0.00
February 28 2017,New Haven,CT,Passenger,0,1,1,62,63,1.59
January 31 2018,Sedgwick,KS,Passenger,0,1,1,106,107,0.93
August 31 2020,Kitsap,WA,Passenger,1399,699,2098,179622,181720,1.15
July 31 2023,Spokane,WA,Truck,42,0,42,100517,100559,0.04
June 30 2020,Ada,ID,Passenger,0,1,1,277,278,0.36
July 31 2020,Houston,GA,Passenger,1,0,1,56,57,1.75
July 31 2020,Albemarle,VA,Passenger,1,0,1,21,22,4.55
January 31 2021,Calvert,MD,Passenger,0,2,2,86,88,2.27
February 28 2023,Houston,GA,Passenger,1,0,1,25,26,3.85
August 31 2021,Danville,VA,Passenger,1,0,1,0,1,100.00
June 30 2022,Wilson,TX,Passenger,0,1,1,2,3,33.33
September 30 2019,Travis,TX,Passenger,2,1,3,208,211,1.42
June 30 2023,DeKalb,GA,Passenger,1,0,1,39,40,2.50
July 31 2020,Montgomery,AL,Passenger,0,1,1,41,42,2.38
February 28 2022,Larimer,CO,Passenger,1,0,1,50,51,1.96
May 31 2019,Walla Walla,WA,Passenger,46,57,103,36163,36266,0.28
March 31 2018,Deschutes,OR,Passenger,1,0,1,171,172,0.58
January 31 2020,Jefferson,NY,Passenger,0,1,1,217,218,0.46
December 31 2019,Lincoln,WA,Passenger,1,11,12,7803,7815,0.15
August 31 2018,El Paso,CO,Passenger,3,1,4,765,769,0.52
December 31 2019,Spokane,WA,Passenger,642,471,1113,315041,316154,0.35
November 30 2017,Utah,UT,Passenger,0,1,1,139,140,0.71
May 31 2020,Lake,FL,Passenger,1,0,1,20,21,4.76
December 31 2022,Cook,IL,Passenger,3,0,3,166,169,1.78
June 30 2018,Ferry,WA,Truck,0,0,0,3513,3513,0.00
September 30 2021,Santa Cruz,CA,Passenger,1,0,1,27,28,3.57
February 28 2022,Powhatan,VA,Passenger,1,0,1,1,2,50.00
April 30 2020,Palm Beach,FL,Passenger,0,1,1,80,81,1.23
May 31 2022,Thurston,WA,Truck,4,0,4,55445,55449,0.01
August 31 2018,Klickitat,WA,Truck,0,0,0,8158,8158,0.00
April 30 2017,Island,WA,Truck,0,0,0,20520,20520,0.00
June 30 2019,Jefferson,WA,Truck,0,0,0,9667,9667,0.00
December 31 2020,Bucks,PA,Passenger,1,0,1,19,20,5.00
August 31 2020,Asotin,WA,Truck,0,0,0,6667,6667,0.00
April 30 2023,Okanogan,WA,Truck,3,0,3,16433,16436,0.02
July 31 2018,Pierce,WA,Truck,0,0,0,138072,138072,0.00
August 31 2019,Riverside,CA,Passenger,3,2,5,651,656,0.76
February 28 2017,Jackson,MO,Passenger,1,0,1,72,73,1.37
December 31 2021,Honolulu,HI,Passenger,4,4,8,364,372,2.15
December 31 2021,Alameda,CA,Passenger,5,0,5,217,222,2.25
April 30 2022,Nassau,NY,Passenger,3,0,3,31,34,8.82
December 31 2017,Los Angeles,CA,Passenger,5,2,7,1218,1225,0.57
November 30 2018,Maricopa,AZ,Passenger,3,3,6,1552,1558,0.39
November 30 2017,Contra Costa,CA,Passenger,0,1,1,468,469,0.21
July 31 2023,St. Louis,MO,Passenger,1,0,1,42,43,2.33
December 31 2017,Sumter,FL,Passenger,0,1,1,10,11,9.09
November 30 2022,Lincoln,OR,Passenger,0,1,1,17,18,5.56
April 30 2023,Pierce,WA,Passenger,7134,2675,9809,531954,541763,1.81
February 28 2022,Sonoma,CA,Passenger,0,1,1,79,80,1.25
December 31 2019,San Diego,CA,Passenger,10,4,14,2810,2824,0.50
December 31 2017,Fulton,GA,Passenger,1,0,1,105,106,0.94
April 30 2018,Santa Rosa,FL,Passenger,1,0,1,101,102,0.98
November 30 2022,Champaign,IL,Passenger,1,0,1,11,12,8.33
February 28 2019,Honolulu,HI,Passenger,2,3,5,507,512,0.98
May 31 2020,Cumberland,NC,Passenger,0,3,3,475,478,0.63
March 31 2018,Sedgwick,KS,Passenger,0,1,1,104,105,0.95
August 31 2021,Essex,NJ,Passenger,2,0,2,10,12,16.67
August 31 2022,Columbia,WA,Truck,0,0,0,1572,1572,0.00
June 30 2018,Cook,IL,Passenger,1,0,1,266,267,0.37
May 31 2021,Montgomery,OH,Passenger,0,1,1,57,58,1.72
March 31 2023,Nassau,NY,Passenger,2,0,2,24,26,7.69
February 28 2023,DeKalb,GA,Passenger,1,0,1,44,45,2.22
July 31 2021,RÃ­o Grande,PR,Passenger,1,0,1,0,1,100.00
January 31 2022,Orange,CA,Passenger,5,2,7,399,406,1.72
February 28 2022,Garfield,WA,Passenger,0,3,3,1353,1356,0.22
May 31 2023,Calvert,MD,Passenger,1,1,2,72,74,2.70
June 30 2020,Boulder,CO,Passenger,1,1,2,45,47,4.26
August 31 2017,Monterey,CA,Passenger,0,2,2,195,197,1.02
March 31 2020,Collin,TX,Passenger,2,1,3,129,132,2.27
December 31 2021,Cumberland,NC,Passenger,1,2,3,401,404,0.74
April 30 2020,Ulster,NY,Passenger,1,0,1,11,12,8.33
July 31 2021,Henrico,VA,Passenger,0,1,1,14,15,6.67
May 31 2020,Whatcom,WA,Truck,3,0,3,42846,42849,0.01
March 31 2018,Clark,WA,Truck,0,0,0,78628,78628,0.00
July 31 2019,San Mateo,CA,Passenger,2,1,3,120,123,2.44
February 28 2017,Benton,WA,Passenger,134,133,267,127647,127914,0.21
October 31 2022,Thurston,WA,Truck,30,0,30,54896,54926,0.05
October 31 2018,Adams,WA,Truck,0,0,0,5150,5150,0.00
November 30 2022,Deschutes,OR,Passenger,2,0,2,70,72,2.78
February 28 2023,Coryell,TX,Passenger,1,0,1,81,82,1.22
September 30 2020,Pierce,WA,Truck,0,0,0,143981,143981,0.00
July 31 2017,Hamilton,IN,Passenger,1,0,1,58,59,1.69
August 31 2017,Morris,NJ,Passenger,1,0,1,23,24,4.17
June 30 2023,Mason,WA,Passenger,444,205,649,45972,46621,1.39
September 30 2017,District of Columbia,DC,Passenger,0,2,2,205,207,0.97
May 31 2019,Ventura,CA,Passenger,0,2,2,317,319,0.63
March 31 2023,Wichita,TX,Passenger,2,0,2,35,37,5.41
June 30 2023,Jefferson,WA,Truck,12,0,12,9275,9287,0.13
May 31 2022,Hawaii,HI,Passenger,1,0,1,36,37,2.70
May 31 2021,Pacific,WA,Passenger,43,47,90,16068,16158,0.56
November 30 2020,Los Angeles,CA,Passenger,8,10,18,975,993,1.81
October 31 2018,Klickitat,WA,Truck,0,0,0,8155,8155,0.00
February 28 2021,Mason,WA,Truck,0,0,0,21052,21052,0.00
October 31 2022,Orange,CA,Passenger,5,2,7,335,342,2.05
August 31 2021,St. Clair,IL,Passenger,2,0,2,135,137,1.46
August 31 2022,Kern,CA,Passenger,0,1,1,195,196,0.51
August 31 2022,Danville,VA,Passenger,1,0,1,0,1,100.00
March 31 2018,Okanogan,WA,Truck,0,0,0,16331,16331,0.00
October 31 2021,Stevens,WA,Truck,0,0,0,18888,18888,0.00
May 31 2023,Maricopa,AZ,Passenger,7,4,11,596,607,1.81
February 29 2020,Santa Cruz,CA,Passenger,1,0,1,38,39,2.56
February 28 2021,Spartanburg,SC,Passenger,0,1,1,51,52,1.92
December 31 2020,Montgomery,MD,Passenger,1,0,1,235,236,0.42
March 31 2022,Leavenworth,KS,Passenger,0,1,1,107,108,0.93
January 31 2018,Collier,FL,Passenger,1,0,1,21,22,4.55
November 30 2020,Virginia Beach,VA,Passenger,1,0,1,655,656,0.15
August 31 2021,Hawaii,HI,Passenger,1,0,1,45,46,2.17
December 31 2019,Dallas,TX,Passenger,1,0,1,210,211,0.47
August 31 2020,Hennepin,MN,Passenger,3,0,3,89,92,3.26
January 31 2022,Camden,NJ,Passenger,0,1,1,13,14,7.14
April 30 2018,Chelan,WA,Passenger,98,45,143,53397,53540,0.27
June 30 2021,Missoula,MT,Passenger,1,0,1,62,63,1.59
February 28 2018,Montgomery,TN,Passenger,1,0,1,269,270,0.37
May 31 2020,Maui,HI,Passenger,2,0,2,31,33,6.06
March 31 2020,Washtenaw,MI,Passenger,1,0,1,37,38,2.63
May 31 2021,Wilson,NC,Passenger,1,0,1,0,1,100.00
May 31 2020,Ventura,CA,Passenger,1,2,3,288,291,1.03
July 31 2023,Lane,OR,Passenger,0,2,2,56,58,3.45
August 31 2023,Carroll,MD,Passenger,0,1,1,18,19,5.26
January 31 2020,Collier,FL,Passenger,1,0,1,17,18,5.56
September 30 2022,Whatcom,WA,Truck,14,0,14,43110,43124,0.03
June 30 2020,Monterey,CA,Passenger,0,1,1,165,166,0.60
August 31 2022,Sarpy,NE,Passenger,1,0,1,52,53,1.89
June 30 2021,Danville,VA,Passenger,1,0,1,0,1,100.00
August 31 2021,Skamania,WA,Passenger,52,38,90,8388,8478,1.06
August 31 2021,Albemarle,VA,Passenger,1,0,1,22,23,4.35
January 31 2019,Columbia,WA,Passenger,2,2,4,2424,2428,0.16
September 30 2020,El Dorado,CA,Passenger,1,0,1,35,36,2.78
May 31 2023,Yellowstone,MT,Passenger,0,1,1,16,17,5.88
February 28 2023,Marin,CA,Passenger,0,1,1,30,31,3.23
March 31 2017,Monroe,NY,Passenger,1,0,1,30,31,3.23
May 31 2021,Franklin,WA,Passenger,117,95,212,61955,62167,0.34
August 31 2019,Pacific,WA,Truck,0,0,0,7681,7681,0.00
May 31 2020,Whitman,WA,Truck,0,0,0,8514,8514,0.00
June 30 2020,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.00
June 30 2017,San Juan,WA,Passenger,107,40,147,13552,13699,1.07
October 31 2019,Stevens,WA,Passenger,29,28,57,31620,31677,0.18
May 31 2022,Oldham,KY,Passenger,0,1,1,4,5,20.00
September 30 2019,Snohomish,WA,Passenger,3739,1661,5400,533900,539300,1.00
July 31 2017,San Diego,CA,Passenger,6,1,7,2706,2713,0.26
May 31 2019,Pima,AZ,Passenger,0,1,1,402,403,0.25
March 31 2018,Jefferson,NY,Passenger,1,0,1,226,227,0.44
June 30 2022,Douglas,CO,Passenger,0,1,1,75,76,1.32
March 31 2018,Garfield,WA,Truck,0,0,0,951,951,0.00
November 30 2018,Skagit,WA,Passenger,249,184,433,91187,91620,0.47
February 29 2020,Maricopa,AZ,Passenger,8,8,16,1491,1507,1.06
December 31 2020,Maricopa,AZ,Passenger,6,8,14,1329,1343,1.04
June 30 2021,Kings,NY,Passenger,1,0,1,67,68,1.47
May 31 2019,King,WA,Passenger,18615,6948,25563,1387255,1412818,1.81
May 31 2023,Orange,CA,Passenger,6,2,8,287,295,2.71
December 31 2022,Bexar,TX,Passenger,4,3,7,390,397,1.76
May 31 2019,Pacific,WA,Passenger,24,28,52,15951,16003,0.32
November 30 2018,Bergen,NJ,Passenger,1,0,1,27,28,3.57
November 30 2022,Columbia,WA,Truck,0,0,0,1589,1589,0.00
September 30 2022,Lincoln,WA,Passenger,10,16,26,7723,7749,0.34
October 31 2021,Whatcom,WA,Passenger,1581,646,2227,150413,152640,1.46
January 31 2020,Brevard,FL,Passenger,0,1,1,88,89,1.12
September 30 2021,Essex,NJ,Passenger,2,0,2,10,12,16.67
May 31 2023,Orange,FL,Passenger,1,0,1,58,59,1.69
July 31 2021,Gwinnett,GA,Passenger,1,0,1,62,63,1.59
May 31 2022,Solano,CA,Passenger,1,0,1,165,166,0.60
April 30 2019,Suffolk,MA,Passenger,0,1,1,41,42,2.38
February 28 2017,Lewis,NY,Passenger,0,1,1,10,11,9.09
January 31 2019,Rogers,OK,Passenger,1,0,1,5,6,16.67
November 30 2022,Whatcom,WA,Passenger,2057,800,2857,148845,151702,1.88
December 31 2021,Moore,NC,Passenger,0,1,1,125,126,0.79
August 31 2020,Okaloosa,FL,Passenger,0,1,1,144,145,0.69
April 30 2020,Harford,MD,Passenger,0,1,1,59,60,1.67
March 31 2022,Skamania,WA,Truck,0,0,0,3972,3972,0.00
December 31 2022,Bryan,GA,Passenger,0,1,1,36,37,2.70
November 30 2021,Asotin,WA,Truck,0,0,0,6758,6758,0.00
July 31 2021,Goochland,VA,Passenger,4,2,6,216,222,2.70
October 31 2020,Skamania,WA,Truck,0,0,0,3994,3994,0.00
May 31 2023,Arapahoe,CO,Passenger,1,1,2,67,69,2.90
June 30 2022,Sarasota,FL,Passenger,2,0,2,27,29,6.90
October 31 2019,Kitsap,WA,Passenger,1176,645,1821,182140,183961,0.99
February 28 2022,Chesapeake,VA,Passenger,2,2,4,363,367,1.09
December 31 2018,Charles,MD,Passenger,0,1,1,78,79,1.27
November 30 2019,Pinellas,FL,Passenger,1,1,2,112,114,1.75
June 30 2020,Franklin,WA,Truck,0,0,0,19972,19972,0.00
August 31 2019,Vigo,IN,Passenger,1,0,1,6,7,14.29
January 31 2017,Lincoln,WA,Truck,0,0,0,4462,4462,0.00
May 31 2023,Hardin,KY,Passenger,1,0,1,55,56,1.79
May 31 2022,Richmond,GA,Passenger,0,1,1,67,68,1.47
January 31 2022,San Francisco,CA,Passenger,0,1,1,83,84,1.19
September 30 2021,San Joaquin,CA,Passenger,1,1,2,101,103,1.94
May 31 2022,Sonoma,CA,Passenger,0,1,1,79,80,1.25
September 30 2017,Manatee,FL,Passenger,1,0,1,43,44,2.27
January 31 2021,Riverside,CA,Passenger,4,1,5,584,589,0.85
June 30 2021,Asotin,WA,Truck,0,0,0,6790,6790,0.00
June 30 2017,Orange,CA,Passenger,3,1,4,639,643,0.62
November 30 2020,Harris,TX,Passenger,1,0,1,222,223,0.45
January 31 2021,Wichita,TX,Passenger,1,0,1,45,46,2.17
April 30 2021,Thurston,WA,Passenger,1494,834,2328,198040,200368,1.16
November 30 2019,Okanogan,WA,Passenger,27,30,57,26234,26291,0.22
March 31 2023,Virginia Beach,VA,Passenger,3,1,4,446,450,0.89
August 31 2019,San Diego,CA,Passenger,11,4,15,2771,2786,0.54
October 31 2018,Dallas,TX,Passenger,0,1,1,200,201,0.50
May 31 2018,Santa Rosa,FL,Passenger,1,0,1,98,99,1.01
February 28 2021,DeKalb,IN,Passenger,1,0,1,0,1,100.00
March 31 2020,Powhatan,VA,Passenger,1,0,1,0,1,100.00
July 31 2018,Garfield,WA,Passenger,1,1,2,1320,1322,0.15
June 30 2019,Tarrant,TX,Passenger,2,0,2,208,210,0.95
November 30 2019,Kitsap,WA,Passenger,1189,649,1838,182225,184063,1.00
June 30 2020,Riverside,CA,Passenger,3,1,4,619,623,0.64
January 31 2022,Burlington,NJ,Passenger,0,1,1,117,118,0.85
December 31 2021,Grays Harbor,WA,Truck,0,0,0,21387,21387,0.00
December 31 2017,Hardin,KY,Passenger,0,1,1,120,121,0.83
August 31 2023,Mason,WA,Passenger,475,214,689,44973,45662,1.51
September 30 2019,Whitman,WA,Passenger,36,45,81,22709,22790,0.36
June 30 2022,Garfield,WA,Passenger,0,3,3,1322,1325,0.23
August 31 2018,Washtenaw,MI,Passenger,1,0,1,38,39,2.56
September 30 2021,Howard,MD,Passenger,0,1,1,58,59,1.69
April 30 2021,Dallas,IA,Passenger,0,1,1,9,10,10.00
August 31 2020,Pierce,WA,Truck,0,0,0,143386,143386,0.00
June 30 2017,Albemarle,VA,Passenger,0,1,1,32,33,3.03
March 31 2017,Kitsap,WA,Passenger,572,289,861,172468,173329,0.50
April 30 2018,Skagit,WA,Passenger,182,155,337,90037,90374,0.37
March 31 2018,Asotin,WA,Passenger,8,5,13,12626,12639,0.10
May 31 2019,Island,WA,Truck,0,0,0,21235,21235,0.00
July 31 2018,Skamania,WA,Truck,0,0,0,3960,3960,0.00
August 31 2023,New Haven,CT,Passenger,0,2,2,20,22,9.09
March 31 2020,Sarasota,FL,Passenger,2,0,2,28,30,6.67
November 30 2022,Spokane,WA,Passenger,1895,915,2810,324659,327469,0.86
March 31 2021,Utah,UT,Passenger,0,1,1,124,125,0.80
July 31 2020,Oldham,KY,Passenger,0,1,1,4,5,20.00
April 30 2017,Cape May,NJ,Passenger,0,1,1,18,19,5.26
July 31 2023,Lincoln,WA,Passenger,18,19,37,7538,7575,0.49
April 30 2021,Island,WA,Truck,0,0,0,21551,21551,0.00
December 31 2021,Monterey,CA,Passenger,0,2,2,137,139,1.44
March 31 2021,Ferry,WA,Truck,0,0,0,3624,3624,0.00
June 30 2019,Portsmouth,VA,Passenger,0,1,1,73,74,1.35
July 31 2018,Manassas,VA,Passenger,0,1,1,9,10,10.00
January 31 2018,Cowlitz,WA,Passenger,54,69,123,70970,71093,0.17
August 31 2020,Yakima,WA,Passenger,147,122,269,166122,166391,0.16
December 31 2017,Lincoln,WA,Passenger,2,5,7,7568,7575,0.09
January 31 2020,Riverside,CA,Passenger,4,1,5,640,645,0.78
December 31 2022,Beaufort,SC,Passenger,1,0,1,24,25,4.00
March 31 2019,Grays Harbor,WA,Passenger,69,80,149,47589,47738,0.31
December 31 2019,Douglas,WA,Passenger,67,38,105,28299,28404,0.37
December 31 2020,Charleston,SC,Passenger,2,0,2,93,95,2.11
August 31 2023,Pierce,WA,Truck,179,0,179,132478,132657,0.13
March 31 2023,Moore,NC,Passenger,0,1,1,107,108,0.93
April 30 2022,New London,CT,Passenger,2,5,7,202,209,3.35
September 30 2020,Skamania,WA,Truck,0,0,0,4004,4004,0.00
December 31 2021,Elmore,ID,Passenger,1,0,1,17,18,5.56
December 31 2018,Franklin,WA,Passenger,45,66,111,59123,59234,0.19
April 30 2019,Duval,FL,Passenger,1,2,3,385,388,0.77
June 30 2021,Flathead,MT,Passenger,1,0,1,47,48,2.08
October 31 2020,Deschutes,OR,Passenger,2,0,2,127,129,1.55
March 31 2018,Norfolk,MA,Passenger,1,0,1,37,38,2.63
October 31 2018,Clallam,WA,Passenger,136,119,255,50303,50558,0.50
April 30 2021,Franklin,WA,Truck,0,0,0,20682,20682,0.00
July 31 2019,Benton,WA,Truck,0,0,0,42072,42072,0.00
July 31 2021,Asotin,WA,Passenger,21,17,38,12707,12745,0.30
November 30 2022,Los Angeles,CA,Passenger,4,6,10,694,704,1.42
January 31 2020,Pima,AZ,Passenger,3,1,4,373,377,1.06
July 31 2023,Broward,FL,Passenger,1,0,1,58,59,1.69
November 30 2019,Osceola,FL,Passenger,1,0,1,44,45,2.22
October 31 2020,Juneau,AK,Passenger,0,1,1,25,26,3.85
January 31 2018,Franklin,WA,Passenger,31,51,82,57015,57097,0.14
August 31 2020,Hudson,NJ,Passenger,1,0,1,38,39,2.56
April 30 2017,Yakima,WA,Truck,0,0,0,57218,57218,0.00
September 30 2017,Pierce,WA,Passenger,1012,898,1910,525140,527050,0.36
December 31 2017,Montgomery,TN,Passenger,1,0,1,273,274,0.36
May 31 2018,Lane,OR,Passenger,0,1,1,190,191,0.52
November 30 2022,Honolulu,HI,Passenger,3,3,6,305,311,1.93
November 30 2018,Polk,FL,Passenger,1,0,1,63,64,1.56
December 31 2020,Hudson,NJ,Passenger,1,0,1,39,40,2.50
January 31 2021,San Francisco,CA,Passenger,1,1,2,92,94,2.13
January 31 2022,Baltimore,MD,Passenger,1,0,1,81,82,1.22
February 28 2017,Norfolk,MA,Passenger,1,0,1,37,38,2.63
January 31 2022,Penobscot,ME,Passenger,0,1,1,8,9,11.11
October 31 2019,Solano,CA,Passenger,1,0,1,207,208,0.48
April 30 2020,Collin,TX,Passenger,2,1,3,127,130,2.31
July 31 2020,El Paso,TX,Passenger,3,0,3,424,427,0.70
February 28 2017,Pierce,WA,Passenger,862,778,1640,526745,528385,0.31
August 31 2022,Skagit,WA,Truck,5,0,5,32232,32237,0.02
February 28 2023,Kauai,HI,Passenger,1,1,2,14,16,12.50
October 31 2020,Maui,HI,Passenger,2,0,2,27,29,6.90
November 30 2020,Salt Lake,UT,Passenger,0,1,1,179,180,0.56
October 31 2021,Travis,TX,Passenger,4,3,7,137,144,4.86
January 31 2017,St. Mary's,MD,Passenger,0,1,1,207,208,0.48
February 28 2017,Portsmouth,VA,Passenger,0,1,1,65,66,1.52
September 30 2021,Bartow,GA,Passenger,0,1,1,3,4,25.00
January 31 2018,Lewis,WA,Passenger,52,43,95,56801,56896,0.17
September 30 2021,Douglas,WA,Passenger,103,51,154,28573,28727,0.54
May 31 2018,Santa Clara,CA,Passenger,7,0,7,387,394,1.78
June 30 2021,Kern,CA,Passenger,0,1,1,215,216,0.46
June 30 2019,Kittitas,WA,Truck,0,0,0,14422,14422,0.00
March 31 2018,Nueces,TX,Passenger,1,1,2,92,94,2.13
November 30 2017,Collier,FL,Passenger,1,0,1,22,23,4.35
June 30 2022,Spokane,WA,Truck,1,0,1,102235,102236,0.00
July 31 2017,Lincoln,WA,Truck,0,0,0,4445,4445,0.00
April 30 2021,Fairfax,VA,Passenger,5,4,9,702,711,1.27
October 31 2020,Columbia,WA,Passenger,4,3,7,2439,2446,0.29
February 28 2018,Norfolk,VA,Passenger,1,1,2,320,322,0.62
April 30 2019,El Paso,CO,Passenger,3,2,5,761,766,0.65
January 31 2019,Nantucket,MA,Passenger,1,0,1,4,5,20.00
June 30 2023,Lincoln,OR,Passenger,0,1,1,12,13,7.69
August 31 2023,Stevens,WA,Passenger,120,69,189,28852,29041,0.65
